[SYNCPILOT | CPU  7] Layer 1 memproses Frame   6 | Waktu: 0.06071 detik
[SYNCPILOT | CPU  0] Layer 1 memproses Frame   2 | Waktu: 0.07248 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame   4 | Waktu: 0.06981 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame   8 | Waktu: 0.05834 detik
[SYNCPILOT | CPU  1] Layer 1 memproses Frame   1 | Waktu: 0.08657 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame   7 | Waktu: 0.07906 detik
[SYNCPILOT | CPU  2] Layer 1 memproses Frame   5 | Waktu: 0.09694 detik
[SYNCPILOT | CPU  3] Layer 1 memproses Frame   3 | Waktu: 0.10064 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame   2 | Waktu: 0.09912 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame   4 | Waktu: 0.10395 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame   2 | Waktu: 0.04079 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame   1 | Waktu: 0.13067 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame   4 | Waktu: 0.03911 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame   8 | Waktu: 0.16391 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame   1 | Waktu: 0.03887 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame   4 | Waktu: 0.03527 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame   8 | Waktu: 0.03568 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame   6 | Waktu: 0.21720 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame   4 | Waktu: 0.03530 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame   1 | Waktu: 0.03830 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame   6 | Waktu: 0.03880 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame   4 | Waktu: 0.03580 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame   1 | Waktu: 0.03718 detik
[SYNCPILOT | CPU  0] Layer 2 memproses Frame   7 | Waktu: 0.24332 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame   6 | Waktu: 0.03860 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame   1 | Waktu: 0.03687 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame   7 | Waktu: 0.03449 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame   2 | Waktu: 0.16127 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame   6 | Waktu: 0.03631 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame   7 | Waktu: 0.03468 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame   8 | Waktu: 0.14478 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame   6 | Waktu: 0.03983 detik
[SYNCPILOT | CPU  2] Layer 2 memproses Frame   5 | Waktu: 0.34467 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame   7 | Waktu: 0.03598 detik
[SYNCPILOT | CPU  3] Layer 2 memproses Frame   3 | Waktu: 0.35126 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame   4 | Waktu: 0.14479 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame   7 | Waktu: 0.02770 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame   1 | Waktu: 0.14088 detik
[SYNCPILOT | CPU  1] Layer 5 memproses Frame   2 | Waktu: 0.15746 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame   6 | Waktu: 0.12006 detik
[SYNCPILOT | CPU  0] Layer 5 memproses Frame   8 | Waktu: 0.14420 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame   7 | Waktu: 0.10964 detik
[SYNCPILOT | CPU  2] Layer 3 memproses Frame   5 | Waktu: 0.16659 detik
[SYNCPILOT | CPU  3] Layer 3 memproses Frame   3 | Waktu: 0.16157 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame   4 | Waktu: 0.16014 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame   9 | Waktu: 0.01596 detik
[SYNCPILOT | CPU  1] Layer 6 memproses Frame   2 | Waktu: 0.13795 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame   1 | Waktu: 0.16492 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame  10 | Waktu: 0.01665 detik
[SYNCPILOT | CPU  0] Layer 6 memproses Frame   8 | Waktu: 0.15404 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame   6 | Waktu: 0.16986 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame  11 | Waktu: 0.01567 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame   7 | Waktu: 0.16545 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame   9 | Waktu: 0.10438 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame  12 | Waktu: 0.01682 detik
[SYNCPILOT | CPU  3] Layer 4 memproses Frame   3 | Waktu: 0.15979 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame   9 | Waktu: 0.03838 detik
[SYNCPILOT | CPU  2] Layer 4 memproses Frame   5 | Waktu: 0.17909 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame   9 | Waktu: 0.04013 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  10 | Waktu: 0.14099 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame   9 | Waktu: 0.04028 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame  10 | Waktu: 0.04093 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  11 | Waktu: 0.16501 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame   9 | Waktu: 0.03977 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame  10 | Waktu: 0.04144 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  12 | Waktu: 0.15265 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  11 | Waktu: 0.04097 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame  10 | Waktu: 0.04073 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  12 | Waktu: 0.03718 detik
[SYNCPILOT | CPU  3] Layer 5 memproses Frame   3 | Waktu: 0.17908 detik
[SYNCPILOT | CPU  2] Layer 5 memproses Frame   5 | Waktu: 0.17870 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame  11 | Waktu: 0.04150 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  12 | Waktu: 0.03801 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame  10 | Waktu: 0.04162 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame  12 | Waktu: 0.03692 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame  11 | Waktu: 0.04042 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  12 | Waktu: 0.03860 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame  11 | Waktu: 0.04186 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame   9 | Waktu: 0.17096 detik
[SYNCPILOT | CPU  1] Layer 7 memproses Frame   2 | Waktu: 0.47762 detik
[SYNCPILOT | CPU  3] Layer 6 memproses Frame   3 | Waktu: 0.18420 detik
[SYNCPILOT | CPU  2] Layer 6 memproses Frame   5 | Waktu: 0.18279 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  10 | Waktu: 0.16043 detik
[SYNCPILOT | CPU  0] Layer 7 memproses Frame   8 | Waktu: 0.44811 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  12 | Waktu: 0.12195 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  11 | Waktu: 0.12564 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame   9 | Waktu: 0.16364 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame  13 | Waktu: 0.01479 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  10 | Waktu: 0.15880 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame  14 | Waktu: 0.01598 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  12 | Waktu: 0.15581 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  11 | Waktu: 0.16151 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame  15 | Waktu: 0.01618 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  13 | Waktu: 0.10926 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame  16 | Waktu: 0.01596 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  13 | Waktu: 0.04448 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  15 | Waktu: 0.11110 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  16 | Waktu: 0.12137 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame  13 | Waktu: 0.09778 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  15 | Waktu: 0.03503 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  14 | Waktu: 0.18731 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  16 | Waktu: 0.03372 detik
[SYNCPILOT | CPU  3] Layer 7 memproses Frame   3 | Waktu: 0.39628 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  15 | Waktu: 0.03157 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  14 | Waktu: 0.03459 detik
[SYNCPILOT | CPU  2] Layer 7 memproses Frame   5 | Waktu: 0.40010 detik
[SYNCPILOT | CPU  0] Layer 8 memproses Frame   8 | Waktu: 0.39702 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame  16 | Waktu: 0.03004 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame  15 | Waktu: 0.02892 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame  17 | Waktu: 0.01533 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame  14 | Waktu: 0.02602 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame  16 | Waktu: 0.02587 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  15 | Waktu: 0.02759 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame  14 | Waktu: 0.03073 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame  16 | Waktu: 0.03253 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame  14 | Waktu: 0.03318 detik
[SYNCPILOT | CPU  0] Layer 5 memproses Frame  13 | Waktu: 0.18767 detik
