[SYNCPILOT | CPU  5] Layer 1 memproses Frame   1 | Waktu: 0.02509 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame   3 | Waktu: 0.03881 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame   7 | Waktu: 0.04909 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame   8 | Waktu: 0.04123 detik
[SYNCPILOT | CPU  2] Layer 1 memproses Frame   2 | Waktu: 0.10124 detik
[SYNCPILOT | CPU  3] Layer 1 memproses Frame   5 | Waktu: 0.10717 detik
[SYNCPILOT | CPU  1] Layer 1 memproses Frame   6 | Waktu: 0.11447 detik
[SYNCPILOT | CPU  0] Layer 1 memproses Frame   4 | Waktu: 0.11974 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame   1 | Waktu: 0.11608 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame   3 | Waktu: 0.11372 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame   7 | Waktu: 0.10121 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame   1 | Waktu: 0.03963 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame   8 | Waktu: 0.12158 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame   7 | Waktu: 0.03505 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame   1 | Waktu: 0.04015 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame   8 | Waktu: 0.03834 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame   7 | Waktu: 0.03605 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame   1 | Waktu: 0.03383 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame   8 | Waktu: 0.03432 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame   7 | Waktu: 0.04068 detik
[SYNCPILOT | CPU  1] Layer 2 memproses Frame   6 | Waktu: 0.17099 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame   1 | Waktu: 0.04064 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame   8 | Waktu: 0.03825 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame   7 | Waktu: 0.03667 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame   3 | Waktu: 0.15875 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame   6 | Waktu: 0.03843 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame   8 | Waktu: 0.03596 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame   6 | Waktu: 0.04293 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame   6 | Waktu: 0.04122 detik
[SYNCPILOT | CPU  2] Layer 2 memproses Frame   2 | Waktu: 0.34654 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame   6 | Waktu: 0.03445 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame   1 | Waktu: 0.16354 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame   7 | Waktu: 0.14981 detik
[SYNCPILOT | CPU  1] Layer 4 memproses Frame   3 | Waktu: 0.15433 detik
[SYNCPILOT | CPU  0] Layer 2 memproses Frame   4 | Waktu: 0.35974 detik
[SYNCPILOT | CPU  3] Layer 2 memproses Frame   5 | Waktu: 0.37675 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame   8 | Waktu: 0.18046 detik
[SYNCPILOT | CPU  0] Layer 3 memproses Frame   4 | Waktu: 0.03533 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame   4 | Waktu: 0.02409 detik
[SYNCPILOT | CPU  2] Layer 3 memproses Frame   2 | Waktu: 0.11778 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame   4 | Waktu: 0.02550 detik
[SYNCPILOT | CPU  1] Layer 5 memproses Frame   3 | Waktu: 0.11426 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame   4 | Waktu: 0.02593 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame   1 | Waktu: 0.16127 detik
[SYNCPILOT | CPU  3] Layer 3 memproses Frame   5 | Waktu: 0.12417 detik
