Bobot & bias berhasil dimuat.
Menjalankan 8 worker thread (dynamic load balancing)...
[Worker 0 | CPU  0] Layer 1 memproses Frame   1 | Waktu: 0.00773 detik
[Worker 1 | CPU  0] Layer 1 memproses Frame   2 | Waktu: 0.00787 detik
[Worker 4 | CPU  0] Layer 1 memproses Frame   6 | Waktu: 0.00842 detik
[Worker 6 | CPU  0] Layer 1 memproses Frame   8 | Waktu: 0.00853 detik
[Worker 7 | CPU  0] Layer 1 memproses Frame   5 | Waktu: 0.01028 detik
[Worker 3 | CPU  0] Layer 1 memproses Frame   4 | Waktu: 0.01038 detik
[Worker 2 | CPU  0] Layer 1 memproses Frame   3 | Waktu: 0.01076 detik
[Worker 5 | CPU  0] Layer 1 memproses Frame   7 | Waktu: 0.01157 detik
[Worker 0 | CPU  0] Layer 2 memproses Frame   1 | Waktu: 0.01824 detik
[Worker 6 | CPU  0] Layer 2 memproses Frame   8 | Waktu: 0.01784 detik
[Worker 3 | CPU  0] Layer 2 memproses Frame   4 | Waktu: 0.01641 detik
[Worker 4 | CPU  0] Layer 2 memproses Frame   6 | Waktu: 0.01918 detik
[Worker 1 | CPU  0] Layer 2 memproses Frame   2 | Waktu: 0.02200 detik
[Worker 7 | CPU  0] Layer 2 memproses Frame   5 | Waktu: 0.01954 detik
[Worker 5 | CPU  0] Layer 2 memproses Frame   7 | Waktu: 0.01823 detik
[Worker 2 | CPU  0] Layer 2 memproses Frame   3 | Waktu: 0.01976 detik
[Worker 0 | CPU  0] Layer 3 memproses Frame   1 | Waktu: 0.00643 detik
[Worker 4 | CPU  0] Layer 3 memproses Frame   6 | Waktu: 0.00482 detik
[Worker 3 | CPU  0] Layer 3 memproses Frame   4 | Waktu: 0.00624 detik
[Worker 6 | CPU  0] Layer 3 memproses Frame   8 | Waktu: 0.00714 detik
[Worker 7 | CPU  0] Layer 3 memproses Frame   5 | Waktu: 0.00403 detik
[Worker 2 | CPU  0] Layer 3 memproses Frame   3 | Waktu: 0.00387 detik
[Worker 1 | CPU  0] Layer 3 memproses Frame   2 | Waktu: 0.00607 detik
[Worker 5 | CPU  0] Layer 3 memproses Frame   7 | Waktu: 0.00671 detik
[Worker 4 | CPU  0] Layer 4 memproses Frame   6 | Waktu: 0.00486 detik
[Worker 7 | CPU  0] Layer 4 memproses Frame   5 | Waktu: 0.00352 detik
[Worker 2 | CPU  0] Layer 4 memproses Frame   3 | Waktu: 0.00350 detik
[Worker 6 | CPU  0] Layer 4 memproses Frame   8 | Waktu: 0.00451 detik
[Worker 3 | CPU  0] Layer 4 memproses Frame   4 | Waktu: 0.00524 detik
[Worker 0 | CPU  0] Layer 4 memproses Frame   1 | Waktu: 0.00719 detik
[Worker 5 | CPU  0] Layer 4 memproses Frame   7 | Waktu: 0.00344 detik
[Worker 1 | CPU  0] Layer 4 memproses Frame   2 | Waktu: 0.00465 detik
[Worker 4 | CPU  0] Layer 5 memproses Frame   6 | Waktu: 0.00372 detik
[Worker 3 | CPU  0] Layer 5 memproses Frame   4 | Waktu: 0.00332 detik
[Worker 5 | CPU  0] Layer 5 memproses Frame   7 | Waktu: 0.00331 detik
[Worker 1 | CPU  0] Layer 5 memproses Frame   2 | Waktu: 0.00329 detik
[Worker 4 | CPU  0] Layer 6 memproses Frame   6 | Waktu: 0.00328 detik
[Worker 3 | CPU  0] Layer 6 memproses Frame   4 | Waktu: 0.00329 detik
[Worker 7 | CPU  0] Layer 5 memproses Frame   5 | Waktu: 0.00791 detik
[Worker 2 | CPU  0] Layer 5 memproses Frame   3 | Waktu: 0.00767 detik
[Worker 6 | CPU  0] Layer 5 memproses Frame   8 | Waktu: 0.00792 detik
[Worker 5 | CPU  0] Layer 6 memproses Frame   7 | Waktu: 0.00327 detik
[Worker 1 | CPU  0] Layer 6 memproses Frame   2 | Waktu: 0.00328 detik
[Worker 0 | CPU  0] Layer 5 memproses Frame   1 | Waktu: 0.00822 detik
[Worker 2 | CPU  0] Layer 6 memproses Frame   3 | Waktu: 0.00505 detik
[Worker 7 | CPU  0] Layer 6 memproses Frame   5 | Waktu: 0.00694 detik
[Worker 6 | CPU  0] Layer 6 memproses Frame   8 | Waktu: 0.00743 detik
[Worker 0 | CPU  0] Layer 6 memproses Frame   1 | Waktu: 0.00694 detik
[Worker 4 | CPU  0] Layer 7 memproses Frame   6 | Waktu: 0.01347 detik
[Worker 5 | CPU  0] Layer 7 memproses Frame   7 | Waktu: 0.01257 detik
[Worker 1 | CPU  0] Layer 7 memproses Frame   2 | Waktu: 0.01250 detik
[Worker 3 | CPU  0] Layer 7 memproses Frame   4 | Waktu: 0.01992 detik
[Worker 2 | CPU  0] Layer 7 memproses Frame   3 | Waktu: 0.01459 detik
[Worker 7 | CPU  0] Layer 7 memproses Frame   5 | Waktu: 0.01628 detik
[Worker 0 | CPU  0] Layer 7 memproses Frame   1 | Waktu: 0.01579 detik
[Worker 6 | CPU  0] Layer 7 memproses Frame   8 | Waktu: 0.01924 detik
