[Worker 5 | CPU  5] Layer 1 memproses Frame   3 | Waktu: 0.01114 detik
[Worker 0 | CPU  0] Layer 1 memproses Frame   1 | Waktu: 0.01159 detik
[Worker 7 | CPU  7] Layer 1 memproses Frame   4 | Waktu: 0.01163 detik
[Worker 6 | CPU  6] Layer 1 memproses Frame   8 | Waktu: 0.01149 detik
[Worker 1 | CPU  1] Layer 1 memproses Frame   7 | Waktu: 0.01303 detik
[Worker 4 | CPU  4] Layer 1 memproses Frame   5 | Waktu: 0.01415 detik
[Worker 3 | CPU  3] Layer 1 memproses Frame   2 | Waktu: 0.01611 detik
[Worker 2 | CPU  2] Layer 1 memproses Frame   6 | Waktu: 0.01565 detik
[Worker 0 | CPU  0] Layer 2 memproses Frame   1 | Waktu: 0.01947 detik
[Worker 1 | CPU  1] Layer 2 memproses Frame   7 | Waktu: 0.01775 detik
[Worker 6 | CPU  6] Layer 2 memproses Frame   8 | Waktu: 0.02021 detik
[Worker 2 | CPU  2] Layer 2 memproses Frame   6 | Waktu: 0.01628 detik
[Worker 5 | CPU  5] Layer 2 memproses Frame   3 | Waktu: 0.02158 detik
[Worker 7 | CPU  7] Layer 2 memproses Frame   4 | Waktu: 0.02209 detik
[Worker 0 | CPU  0] Layer 3 memproses Frame   1 | Waktu: 0.00398 detik
[Worker 1 | CPU  1] Layer 3 memproses Frame   7 | Waktu: 0.00396 detik
[Worker 6 | CPU  6] Layer 3 memproses Frame   8 | Waktu: 0.00394 detik
[Worker 2 | CPU  2] Layer 3 memproses Frame   6 | Waktu: 0.00394 detik
[Worker 4 | CPU  4] Layer 2 memproses Frame   5 | Waktu: 0.02290 detik
[Worker 3 | CPU  3] Layer 2 memproses Frame   2 | Waktu: 0.02209 detik
[Worker 0 | CPU  0] Layer 4 memproses Frame   1 | Waktu: 0.00395 detik
[Worker 5 | CPU  5] Layer 3 memproses Frame   3 | Waktu: 0.00622 detik
[Worker 4 | CPU  4] Layer 3 memproses Frame   5 | Waktu: 0.00374 detik
[Worker 7 | CPU  7] Layer 3 memproses Frame   4 | Waktu: 0.00796 detik
[Worker 1 | CPU  1] Layer 4 memproses Frame   7 | Waktu: 0.00642 detik
[Worker 3 | CPU  3] Layer 3 memproses Frame   2 | Waktu: 0.00367 detik
[Worker 0 | CPU  0] Layer 5 memproses Frame   1 | Waktu: 0.00347 detik
[Worker 5 | CPU  5] Layer 4 memproses Frame   3 | Waktu: 0.00348 detik
[Worker 6 | CPU  6] Layer 4 memproses Frame   8 | Waktu: 0.00724 detik
[Worker 2 | CPU  2] Layer 4 memproses Frame   6 | Waktu: 0.00764 detik
[Worker 4 | CPU  4] Layer 4 memproses Frame   5 | Waktu: 0.00344 detik
[Worker 3 | CPU  3] Layer 4 memproses Frame   2 | Waktu: 0.00341 detik
[Worker 0 | CPU  0] Layer 6 memproses Frame   1 | Waktu: 0.00339 detik
[Worker 5 | CPU  5] Layer 5 memproses Frame   3 | Waktu: 0.00339 detik
[Worker 3 | CPU  3] Layer 5 memproses Frame   2 | Waktu: 0.00328 detik
[Worker 6 | CPU  6] Layer 5 memproses Frame   8 | Waktu: 0.00518 detik
[Worker 5 | CPU  5] Layer 6 memproses Frame   3 | Waktu: 0.00326 detik
[Worker 1 | CPU  1] Layer 5 memproses Frame   7 | Waktu: 0.00790 detik
[Worker 7 | CPU  7] Layer 4 memproses Frame   4 | Waktu: 0.00795 detik
[Worker 4 | CPU  4] Layer 5 memproses Frame   5 | Waktu: 0.00529 detik
[Worker 3 | CPU  3] Layer 6 memproses Frame   2 | Waktu: 0.00323 detik
[Worker 6 | CPU  6] Layer 6 memproses Frame   8 | Waktu: 0.00327 detik
[Worker 2 | CPU  2] Layer 5 memproses Frame   6 | Waktu: 0.00795 detik
[Worker 1 | CPU  1] Layer 6 memproses Frame   7 | Waktu: 0.00556 detik
[Worker 4 | CPU  4] Layer 6 memproses Frame   5 | Waktu: 0.00533 detik
[Worker 0 | CPU  0] Layer 7 memproses Frame   1 | Waktu: 0.01073 detik
[Worker 7 | CPU  7] Layer 5 memproses Frame   4 | Waktu: 0.00829 detik
[Worker 2 | CPU  2] Layer 6 memproses Frame   6 | Waktu: 0.00735 detik
[Worker 5 | CPU  5] Layer 7 memproses Frame   3 | Waktu: 0.01080 detik
[Worker 7 | CPU  7] Layer 6 memproses Frame   4 | Waktu: 0.00421 detik
[Worker 4 | CPU  4] Layer 7 memproses Frame   5 | Waktu: 0.01178 detik
[Worker 3 | CPU  3] Layer 7 memproses Frame   2 | Waktu: 0.01659 detik
[Worker 6 | CPU  6] Layer 7 memproses Frame   8 | Waktu: 0.01936 detik
[Worker 1 | CPU  1] Layer 7 memproses Frame   7 | Waktu: 0.01659 detik
[Worker 7 | CPU  7] Layer 7 memproses Frame   4 | Waktu: 0.01079 detik
